      -------Part 1--------   -------Part 2--------
Day       Time  Rank  Score       Time  Rank  Score
 25   06:31:47   565      0   14:36:31   673      0
 24   14:28:34   659      0   14:30:32   639      0
 23   16:46:07  1095      0   18:07:48   965      0
 22   17:43:11  1486      0   18:20:57   833      0
 21   05:42:12   764      0   06:04:14   617      0
 20   05:19:48   959      0   05:23:19   810      0
 19   05:03:57   915      0   06:38:14   519      0
 18   04:17:51   627      0   04:20:56   617      0
 17   10:12:55   897      0   10:17:57   839      0
 16   08:52:19  1280      0   08:53:39  1172      0
 15   04:20:06   776      0   04:22:20   763      0
 14   09:24:09  1106      0   09:48:27   969      0
 13   06:32:21   801      0   06:39:52   723      0
 12   08:03:05  1024      0   08:04:39  1009      0
 11       >24h  2255      0       >24h  2085      0
 10   17:43:47  1561      0   17:45:11  1519      0
  9   04:57:05  1130      0   05:27:54   758      0
  8   06:03:57  1273      0   06:04:39  1241      0
  7   06:11:35  1639      0   06:26:15  1234      0
  6   05:39:44  2053      0   05:41:17  1999      0
  5   04:50:44  1457      0   05:34:25  1361      0
  4   05:55:45  1262      0   06:10:02  1126      0
  3   04:00:58  1236      0   04:07:02  1031      0
  2   05:32:46  1722      0   05:52:33  1453      0
  1   05:21:11  1084      0   05:43:29   757      0
