25      0     0  
24      0     0  
23    981   161  ****
22   1099   630  *****
21   1739   170  ******
20   2120   148  *******
19   1904   561  *******
18   2351    23  ********
17   2082    63  *******
16   2593   101  ********
15   2630    22  ********
14   2634   142  ********
13   2618   147  ********
12   3399    39  **********
11   2026   192  *******
10   3880    74  ***********
 9   4376   966  ***************
 8   5763   105  ****************
 7   6134   845  *******************
 6   7876   259  **********************
 5   7734   404  **********************
 4   8204   473  ************************
 3   9857  1330  ******************************
 2  10736  1440  ********************************
 1  11869  3628  *****************************************
